replicate,seed,ll_reduced,ll_full,dofv,converged_reduced,converged_full,n_steps_reduced,n_steps_full,secs,CL_reduced,V_reduced,ka_reduced,om_CL_reduced,om_V_reduced,sigma_reduced,CL_full,V_full,ka_full,om_CL_full,om_V_full,om_ka_full,sigma_full,sigma_diff
20,5020,-106.87505581499882,-106.40055232610278,0.9490069777920667,True,True,2250,14750,60.00547194480896,3.14276877556099,30.2929042093556,1.2335354230774829,0.30843823725323793,0.20080476620063606,0.192732121676188,3.202283572110096,29.862691655043804,1.2375318614791868,0.312015319262628,0.19765775033464264,0.006193793211349632,0.1900635975127417,-0.0026685241634462897
21,5021,-137.291376827072,-136.772769112323,1.0372154294980191,True,True,2250,12750,52.653899908065796,3.025728746032397,30.076789130284055,1.1926519456858438,0.3539017276005215,0.19025651931871346,0.2028657617888658,2.920389606628375,29.97260752246142,1.1981291605371602,0.35613732276889054,0.18569842337623801,0.09675721362248044,0.19949211526647387,-0.003373646522391943
22,5022,-145.44024759147862,-145.43540596065418,0.00968326164888822,True,True,2250,9500,41.545140981674194,3.0395612187375844,28.77391260655362,1.2449495119897749,0.304779434440658,0.18986793742397343,0.21008415684976145,2.9948049514006625,28.651125025651417,1.242639165870505,0.3073577868374373,0.1905001848451383,0.017913200924085187,0.20991334214828042,-0.00017081470148103128
23,5023,-105.9306081581146,-106.4624167807111,-1.0636172451930008,True,True,3250,13500,58.29450082778931,2.904480316673347,30.79781957561182,1.2805937422843454,0.31398077311742684,0.1712629469636878,0.20192558550937428,2.8132469528856556,31.081321566364835,1.2552079319533367,0.3156480093410855,0.16096040777591916,0.07905306554422675,0.2011060895938799,-0.0008194959154943782
24,5024,-90.85434374058207,-91.00315817829531,-0.29762887542648286,True,True,3000,9750,44.095295906066895,2.8522072885124894,29.232759967994436,1.2025892035995442,0.3205754622664128,0.17613148924114494,0.19147176709205516,2.840575020825681,28.93154825416429,1.196461791287784,0.32328681081732435,0.17512996770973488,0.009592351152297555,0.19066380493677926,-0.0008079621552758987
25,5025,-134.18279041517852,-133.99243310029,0.38071462977706005,True,True,3000,5750,29.744304895401,3.0580136428775644,29.96744445695381,1.1769283032148579,0.2985950486670567,0.18750226195150865,0.2086168102433804,2.9670041991908187,29.654349131340744,1.1883606597504328,0.3028133375697253,0.18594283292397648,0.050470292323305334,0.20771784842382057,-0.0008989618195598403
26,5026,-124.76416441735837,-124.32516266907795,0.8780034965608365,True,True,3000,14250,60.12799882888794,3.119813721260506,29.6216142771486,1.125586277690796,0.2767035603059795,0.19681832542275515,0.20438332002159904,3.04812779658177,29.729098036566338,1.147659107803666,0.28049441122814023,0.20072388293062707,0.011813524005125562,0.20341377998947718,-0.0009695400321218517
27,5027,-119.64539278207512,-119.05153716717416,1.18771122980192,True,True,4250,11250,53.29493975639343,3.043523690807154,30.105213579655345,1.182981633239002,0.3121723757315007,0.18409623213238901,0.2004284055603007,2.9321495174444547,30.108866316915453,1.18867414505512,0.30947420509006296,0.18597565448091252,0.06343372325454015,0.20082690762084596,0.0003985020605452583
28,5028,-44.49205920696999,-44.29002494059199,0.40406853275599985,True,True,2250,19500,77.3907699584961,2.969658807121459,30.888758463242592,1.2353408728243305,0.21948886452347371,0.17221788545622413,0.19067759246099072,2.9822748266928274,30.846181846307065,1.2216361598992882,0.22147847526950296,0.17103916952099907,0.006571942651173886,0.18995059986967097,-0.0007269925913197528
29,5029,-136.07296634040057,-135.0023909478199,2.141150785161358,True,True,2000,20000,77.7830958366394,3.1630444419039367,29.850143053899657,1.228135817612173,0.29657591781483555,0.18152645751509025,0.20681088035541062,3.0754898432810873,30.014972574582796,1.2282667790407593,0.29686661315692936,0.18567217938661007,0.017775921034821545,0.2071507530066261,0.00033987265121548926
30,5030,-143.1271902738692,-141.29489167518557,3.664597197367243,True,True,2250,11500,47.87534308433533,3.110705192051369,30.58948232642628,1.1713789866354798,0.29979394697490236,0.21686681203506872,0.2035365677617386,3.166988356042642,29.950928095249743,1.188970172549829,0.3039637911655889,0.2121931517346951,0.1219055852913115,0.19971727361710517,-0.003819294144633417
31,5031,-134.879922593417,-133.43713626238076,2.885572662072491,True,True,5250,5000,33.655322313308716,2.992793930299279,29.280749307711808,1.1704828485997234,0.29208269006121756,0.18871463430214663,0.2089729095786626,2.911881871121493,29.47585292649714,1.1599266888222235,0.2939172440079164,0.18176137593156289,0.16128682034272743,0.2025834198755222,-0.006389489703140405
32,5032,-91.66252239522709,-91.39873574725218,0.5275732959498214,True,True,5250,11000,55.46508431434631,2.9195770266884877,29.73355528217725,1.259613464827922,0.30642688313447325,0.18188358000705449,0.1928051618569297,2.950404654404192,29.386373682252593,1.2368272940232945,0.3031060711214902,0.18153191736635646,0.008840723986967305,0.1919039213612382,-0.0009012404956914855
33,5033,-119.03870080509839,-119.23101444219057,-0.3846272741843677,True,True,2750,5500,28.0886070728302,2.8950751737389213,30.786723783994077,1.2001216398993422,0.3073882541214021,0.19525820687038337,0.20312370287488835,2.8794839436803565,30.799880809965465,1.2044948880880175,0.30421676563906563,0.19641097015917694,0.022814296970195692,0.20110211997525268,-0.0020215828996356655
34,5034,-126.63692074358104,-126.43384804391108,0.4061453993399198,True,True,3500,13500,59.69350600242615,2.9340091721535484,29.687821110112147,1.1546432265976792,0.2883592282615252,0.1910961971297227,0.20818875017756394,2.9572643544178194,29.509799195190492,1.1539750654084973,0.28563232976240566,0.1919524487888971,0.04074797120429165,0.2033077123392082,-0.004881037838355751
35,5035,-150.6587629003609,-150.54246548087193,0.23259483897794553,True,True,2000,12500,51.0756139755249,2.9571374824679673,29.88507894779641,1.2009672923265804,0.3119473434250387,0.19868962064548354,0.21034919553644207,2.977706537683915,29.38849266675007,1.2226123694348001,0.3069181573341577,0.196572357143639,0.08676190805320565,0.20868680388447228,-0.0016623916519697968
36,5036,-119.62141628513626,-119.39394460874595,0.45494335278061726,True,True,2250,10750,46.050811767578125,2.870459813608017,29.315434402166662,1.182720294248794,0.29143753303045644,0.21826396699214995,0.19828457847033717,2.903689758632468,28.976279866114304,1.157166954579149,0.287131632541631,0.22102262811537068,0.019544158893495138,0.19824936459332626,-3.5213877010914496e-05
37,5037,-142.4243119645799,-142.97574632358604,-1.102868718012246,True,True,5500,19500,90.44921016693115,2.9140063457798395,29.473243853982275,1.1782338368634602,0.32805424396019817,0.18802913442176103,0.2076837648484265,2.850636879638857,29.655660698266114,1.1627668115590493,0.32282846837756846,0.18312206125096125,0.027745043962065292,0.20760295372603582,-8.081112239066712e-05
38,5038,-113.36813498430519,-112.15315342029024,2.429963128029897,True,True,2250,10500,44.85096788406372,3.0252079563153083,28.84600101946976,1.185081833903593,0.292089301596475,0.2114035786403696,0.19700314689783532,2.8237420809017846,29.499097840577036,1.1861967123858896,0.29754039255815207,0.2101927496889317,0.08641781930316739,0.19502805632729572,-0.0019750905705396005
39,5039,-88.35710377339113,-88.23846165423338,0.23728423831551027,True,True,2000,9500,40.90039396286011,2.9769751965733815,30.04700374449744,1.2083374571853482,0.32126702400263946,0.20326159009302652,0.18437838552559355,2.9716766162632617,30.280664308681423,1.2157148968242135,0.31522127668828714,0.20408355394358638,0.01491800266757635,0.1849331748266826,0.0005547893010890426
40,5040,-117.38283361406246,-118.03733057646583,-1.3089939248067424,True,True,3250,7250,36.58057975769043,3.025605282846583,31.458455654458742,1.2065618373420874,0.3112000097463169,0.16657089481524487,0.206435444548796,2.9337172844572263,31.773111825760584,1.1867175170526758,0.31431136885029426,0.16664352848097155,0.054679740720190696,0.20519432884006808,-0.0012411157087279245
41,5041,-112.11621353465321,-111.56377241147429,1.104882246357846,True,True,2000,14250,61.20441699028015,3.0669627528716377,30.8037611141713,1.1809361843434167,0.3260589625552819,0.19295773126830698,0.19525496884879517,3.001443423480033,30.612402611130122,1.18345374298815,0.32231740409088083,0.19619855166169056,0.05803849240569911,0.1955129613273098,0.00025799247851462925
42,5042,-93.29133111508384,-93.01159200311685,0.5594782239339793,True,True,4250,21500,93.69964408874512,3.0361108558326944,29.791489448557126,1.1753572238622647,0.262223495808433,0.18980912522730636,0.19737956050973526,2.969029632679728,29.69468786801574,1.1765352107211249,0.2609785577473058,0.19358274209751272,0.007284640015712591,0.19643668849782395,-0.0009428720119113165
43,5043,-115.97372082120773,-115.22447188470993,1.498497872995614,True,True,2000,9250,42.73255395889282,3.1424632377492254,30.571412685556197,1.1926522825817878,0.29718337798271294,0.1821649180296516,0.20269889587782836,3.044733223693676,30.744362096883634,1.1995897547193624,0.2988537221125089,0.18350131535925965,0.019152447129393797,0.20166298006980404,-0.0010359158080243125
44,5044,-143.12379633913906,-142.92587717655783,0.3958383251624582,True,True,4250,5250,35.34613609313965,3.118729030536179,29.89463147184152,1.1743713223117351,0.3105116556299295,0.2223199480561184,0.20378442298721527,2.9951816282034844,29.7510210864262,1.1805926381552143,0.3056095517787009,0.22019429979798058,0.013724768568092174,0.20460533848966808,0.000820915502452807
45,5045,-112.56542498387667,-112.35613539357817,0.41857918059699273,True,True,5500,18250,86.84819912910461,3.2970040291385447,28.885231753939777,1.1704411382448165,0.298428835711549,0.1926845512396435,0.19388518745855107,3.182848477591418,28.97765473747676,1.1794025393996868,0.2962282643031205,0.18969064828767604,0.009953299719617505,0.1953060954851354,0.0014209080265843166
