subject,arm,ess,top_share
93,good,1025.2613883985346,0.022676729798607624
94,good,1582.5639217900682,0.00629439452097155
95,good,1707.5135539402993,0.009708368899718392
96,good,563.1987596146328,0.025020144699566444
97,good,850.6986654096363,0.017076554082552448
98,good,1993.4911133839976,0.005203778416336661
99,good,1969.4741837898014,0.004908059009729734
100,good,885.9992871244699,0.01089156459181225
101,good,2067.691606713977,0.005326452452502142
102,good,2629.2678159371176,0.0026961723288710863
103,good,1186.4154817773397,0.007618104548168846
104,good,984.650479894517,0.016260309654197
105,good,2439.4700438979976,0.002944145071744848
106,good,1354.992630671869,0.004322074259576929
107,good,2425.7309450136554,0.004029770185539022
108,good,989.9593707320736,0.011710388565571397
109,good,1766.8886530549378,0.006612448585588828
110,good,1085.7241351177775,0.01461971093220782
111,good,2146.803981476588,0.006617768961777859
112,good,2436.7241459024926,0.004168258017554432
113,good,903.3833259605652,0.013221302415858789
114,good,2430.020946570139,0.005000909447703219
115,good,2831.908026968129,0.002905106067160897
116,good,2582.4449569482185,0.0036115783802386694
117,good,1229.7619571828186,0.014908427378780929
118,good,1190.5111758796638,0.012712389403376101
119,good,2112.9213630820923,0.004558140987352053
0,bad,789.5569272501892,0.008546441704996261
1,bad,533.6665180014235,0.005251729300083821
2,bad,1028.1077539057812,0.01105231674719825
3,bad,1294.9590176325999,0.008287112898228506
4,bad,1475.6211124480903,0.0043621266993269965
5,bad,2054.9329500099334,0.004317946358901509
6,bad,746.6788778832747,0.01340728342128827
7,bad,910.162812236043,0.007286008987326266
8,bad,870.8414802453891,0.006035324508257192
9,bad,1145.8874373228552,0.0037233037103032466
10,bad,215.14418576891794,0.01913972687601454
11,bad,926.6002165100591,0.008404710554519135
12,bad,1337.4779207073184,0.0018921278624404081
13,bad,1077.6766405124436,0.013010391589685729
14,bad,1351.9007820852141,0.011059563295621076
15,bad,1654.191074345835,0.006853952397220587
16,bad,1013.3751726021949,0.0041989314065670035
17,bad,782.586071629482,0.006183471516778981
18,bad,1053.8280359444075,0.004753459563537743
19,bad,263.23326538786034,0.02930940606593429
20,bad,1190.7203215585162,0.006886682729741137
21,bad,1356.7720956132987,0.002400014185863553
22,bad,1478.6487653693139,0.0037920919646632517
23,bad,1253.9996757600609,0.0020318749531945826
24,bad,2472.3894185882586,0.003098746765248803
25,bad,1178.071724501673,0.0059836866027208405
26,bad,503.4055558949852,0.006121836379279236
27,bad,2715.850424412642,0.0025134986908738415
28,bad,1625.6866206433158,0.0028815794955412595
29,bad,1592.0125300519026,0.0034571327846572362
30,bad,486.87863842609084,0.010832207269404641
31,bad,1299.8472708651836,0.002140928051181467
32,bad,1078.1966788098423,0.004479632537257287
33,bad,1210.3487910364358,0.0037339838491559714
34,bad,1563.2131957667507,0.002956024146796347
35,bad,961.8888338833639,0.00682351280612369
36,bad,174.74393961541708,0.01894620733102675
37,bad,915.190661879582,0.020268941130465398
38,bad,1084.865232133767,0.0034750470907994025
39,bad,1204.8439225365894,0.0018988803123814195
40,bad,1763.0060970172522,0.0025373490826737476
