replicate,seed,posterior,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,frac_bad,n_steps_run,converged,secs,cpu_secs
1,1001,amortized,1,om_V,0.01608913256436897,0.2,-91.95543371781551,-210.71412199132962,3539.102188601787,0.0,19000,True,9.85534405708313,10.387079
1,1001,amortized,1,om_ka,0.529485214110421,0.4,32.37130352760525,-210.71412199132962,3539.102188601787,0.0,19000,True,9.855348110198975,10.387079
1,1001,amortized,1,sigma,0.22558927266963183,0.2,12.794636334815909,-210.71412199132962,3539.102188601787,0.0,19000,True,9.855351209640503,10.387079
1,1001,amortized,8,CL,3.013621936904819,3.0,0.4540645634939722,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.598021030426025,7.2191760000000045
1,1001,amortized,8,V,29.390469507021376,30.0,-2.0317683099287485,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.598027944564819,7.2191760000000045
1,1001,amortized,8,ka,1.1583585378208001,1.2,-3.4701218482666536,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.5980329513549805,7.2191760000000045
1,1001,amortized,8,om_CL,0.3311590554254021,0.3,10.386351808467365,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.598037004470825,7.2191760000000045
1,1001,amortized,8,om_V,0.14348786427555152,0.2,-28.256067862224246,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.598039865493774,7.2191760000000045
1,1001,amortized,8,om_ka,0.4602223799795409,0.4,15.05559499488522,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.598043918609619,7.2191760000000045
1,1001,amortized,8,sigma,0.2000272446936838,0.2,0.01362234684189334,-191.6276461846877,1745.1199361668007,0.0,9500,True,6.5980470180511475,7.2191760000000045
1,1001,amortized,64,CL,3.0008042740563847,3.0,0.02680913521282413,-190.91044002608544,1996.759668442795,0.0,25000,False,50.628350019454956,66.51303799999998
1,1001,amortized,64,V,29.618285818499828,30.0,-1.272380605000573,-190.91044002608544,1996.759668442795,0.0,25000,False,50.628357887268066,66.51303799999998
1,1001,amortized,64,ka,1.1917792167331196,1.2,-0.6850652722400301,-190.91044002608544,1996.759668442795,0.0,25000,False,50.62836313247681,66.51303799999998
1,1001,amortized,64,om_CL,0.32764784323131485,0.3,9.21594774377162,-190.91044002608544,1996.759668442795,0.0,25000,False,50.62836718559265,66.51303799999998
1,1001,amortized,64,om_V,0.15440635868768432,0.2,-22.796820656157845,-190.91044002608544,1996.759668442795,0.0,25000,False,50.62837100028992,66.51303799999998
1,1001,amortized,64,om_ka,0.4660943941565322,0.4,16.523598539133044,-190.91044002608544,1996.759668442795,0.0,25000,False,50.628374099731445,66.51303799999998
1,1001,amortized,64,sigma,0.19771457533527284,0.2,-1.142712332363585,-190.91044002608544,1996.759668442795,0.0,25000,False,50.62837886810303,66.51303799999998
2,1002,free,1,CL,3.084373462798216,3.0,2.8124487599405334,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.343799114227295,8.350096000000008
2,1002,free,1,V,28.84054805248241,30.0,-3.864839825058629,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.343806028366089,8.350096000000008
2,1002,free,1,ka,1.1800626261035156,1.2,-1.6614478247070261,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.34381103515625,8.350096000000008
2,1002,free,1,om_CL,0.28912456869158043,0.3,-3.6251437694731865,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.3438138961792,8.350096000000008
